Division,Line,Station_Name,Route_1,Route_2,Route_3,Route_4,Route_5,Route_6,Route_7,Route_8,Route_9,Route_10,Route_11,ADA,ADA_Notes,Free_Crossover,Entrance_Type,Entry,Exit_Only,Entrance_Staffing,North_South_Street,East_West_Street,Corner,Latitude,Longitude
BMT,Broadway,Times Sq-42 St,A,C,E,N,Q,R,GS,1,2,3,7,TRUE,Shuttle not ADA,TRUE,Stair,YES,,NONE,Broadway,40th St,NW,40.7543395,-73.9868655
BMT,Broadway,Whitehall St-South Ferry,R,1,,,,,,,,,,FALSE,R not ADA,TRUE,Stair,YES,,NONE,Whitehall St,Stone St,W,40.703025999999994,-74.0129405
BMT,Canarsie,1 Av,L,,,,,,,,,,,FALSE,,FALSE,Stair,YES,,NONE,1st Av,14th St,SE,40.731266500000004,-73.9823685
BMT,Canarsie,3 Av,L,,,,,,,,,,,FALSE,,FALSE,Stair,YES,,FULL,3rd Av,14th St,SE,40.733119,-73.9867945
BMT,Canarsie,6 Av,F,L,M,1,2,3,,,,,,FALSE,,TRUE,Stair,YES,,NONE,6th Av,14th St,SE,40.737173,-73.996641
BMT,Canarsie,8 Av,A,C,E,L,,,,,,,,TRUE,,TRUE,Stair,YES,,FULL,8th Av,14th St,SW,40.739742500000006,-74.0025965
BMT,Canarsie,Atlantic Av,L,,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,Snediker Av,New York Av,SW,40.6754945,-73.90268950000001
BMT,Canarsie,Bedford Av,L,,,,,,,,,,,FALSE,,TRUE,Stair,YES,,NONE,Driggs Av,N 7th St,SE,40.7173545,-73.956976
BMT,Canarsie,Bushwick Av-Aberdeen St,L,,,,,,,,,,,FALSE,,TRUE,Door,YES,,FULL,De Sales Pl,Bushwick Av,NW,40.6823,-73.905149
BMT,Canarsie,Canarsie-Rockaway Pkwy,L,,,,,,,,,,,TRUE,,TRUE,Walkway,YES,,NONE,Rockaway Pkwy,E 98 St,NW,40.6457585,-73.90214399999999
BMT,Canarsie,DeKalb Av,L,,,,,,,,,,,FALSE,,TRUE,Stair,YES,,NONE,Stanhope St,Wycoff Av,SW,40.703863999999996,-73.918529
BMT,Canarsie,East 105 St,L,,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,Turnbull Av,E 105th St,SE,40.65137,-73.89902649999999
BMT,Canarsie,Graham Av,L,,,,,,,,,,,FALSE,,FALSE,Stair,YES,,NONE,Graham Ave,Metropolitan Av,NW,40.714546999999996,-73.94438
BMT,Canarsie,Grand St,L,,,,,,,,,,,FALSE,,FALSE,Stair,YES,,NONE,Grand St,Bushwick Av,NE,40.711986499999995,-73.94070450000001
BMT,Canarsie,Halsey St,L,,,,,,,,,,,FALSE,,FALSE,Stair,YES,,NONE,Norman St,Wyckoff Av,NE,40.69564,-73.904165
BMT,Canarsie,Jefferson St,L,,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,Starr St,Wyckoff Av,SW,40.706586,-73.9228935
BMT,Canarsie,Livonia Av,L,,,,,,,,,,,FALSE,,TRUE,Door,YES,,FULL,Van Sinderen Av,Livonia Av,SW,40.663745500000005,-73.90050199999999
BMT,Canarsie,Lorimer St,G,L,,,,,,,,,,FALSE,,TRUE,Stair,YES,,NONE,Union St,Metropolitan St,NE,40.714059000000006,-73.9502755
BMT,Canarsie,Montrose Av,L,,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,Montrose Av,Bushwick Av,SW,40.707771,-73.9398965
BMT,Canarsie,Morgan Av,L,,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,Morgan Av,Harrison Pl,SW,40.706195,-73.9326645
BMT,Canarsie,Myrtle-Wyckoff Avs,L,M,,,,,,,,,,TRUE,,TRUE,Door,YES,,FULL,Wyckoff St,Myrtle St,NW,40.699641,-73.911063
BMT,Canarsie,New Lots Av,L,,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,Van Sinderen Av,New Lots Av,SW,40.659041,-73.899409
BMT,Canarsie,Sutter Av,L,,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,LIRR Bay Ridge Divide,Sutter Av,NW,40.668527,-73.901765
BMT,Canarsie,Wilson Av,L,,,,,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,LIRR Bay Ridge Divide,Wilson Ave,NW,40.688805,-73.904741
BMT,Coney Island,Coney Island-Stillwell Av,D,F,N,Q,,,,,,,,TRUE,,TRUE,Stair,YES,,NONE,Stillwell Ave,Surf Ave,NE,40.5765705,-73.9809615
BMT,Coney Island,West 8 St-NY Aquarium,F,Q,,,,,,,,,,FALSE,,TRUE,Stair,YES,,NONE,W 8 St,Surf Av,NE,40.5759815,-73.97586749999999
BMT,Franklin Shuttle,Botanic Garden,FS,2,3,4,5,,,,,,,FALSE,,TRUE,Stair,YES,,FULL,Franklin Av,Eastern Pkwy,SW,40.670588,-73.959093
BMT,Franklin Shuttle,Park Pl,FS,,,,,,,,,,,TRUE,,TRUE,Stair,YES,,FULL,Franklin Av,Park Pl,NW,40.674862,-73.9577615
